Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
-0.8311866288362063,1,-0.9707321742340472,4,1.747453810500045,9,-0.13954076129512305,1,0,1,3735.138
-1.6308095457790872,2,-0.9081112260568366,14,-1.4890232521574345,3,-1.3341027425308933,1,2,2,443.4228
1.1087269566465219,1,-0.9569173311583046,10,0.010040209322175003,9,-0.13954076129512305,1,0,1,2097.27
1.510904163392941,2,-1.2817577519125376,6,0.6600495477422742,0,-0.020084563171546017,1,2,0,732.38
-0.9187193150104271,1,-1.2817577519125376,9,-1.399219605090881,1,1.2939336161878014,0,2,1,994.7052
-0.5721371927260129,2,-1.2817577519125376,0,-1.4387337236796227,3,-1.3341027425308933,1,2,2,556.6088
0.19791387077963118,2,-1.0348125138019009,13,-1.3382381721359564,1,1.2939336161878014,0,2,1,343.5528
-0.05048969809315736,1,1.1888375157913318,13,-0.5336410457037208,5,1.5328460124349554,1,2,3,4022.7636
0.8011796808992598,2,-0.9583314466642703,5,-0.7069083520213211,7,-0.49790935566585415,1,1,1,1076.5986
1.510904163392941,2,0.5488453065859961,5,0.7520082767866417,2,-1.0951903462837393,1,1,1,4710.535
-0.23974956009147205,1,-1.2817577519125376,6,-1.532847534701804,9,-0.13954076129512305,1,0,1,1516.0266
1.3453017841444155,2,-0.4005879987703265,4,0.05006178387588622,8,0.09937163495203102,2,0,1,2187.153
0.5409473706515768,2,0.6566838971316045,6,0.07203655420703896,9,-0.13954076129512305,1,0,1,1589.2646
1.1323844393963114,2,-0.36582567456558046,13,-0.34228518245758355,8,0.09937163495203102,2,0,1,2145.2076
0.8366659050239443,1,0.03667562225268422,6,0.8904538263181622,1,1.2939336161878014,0,2,1,1977.426
-0.9021590770855745,2,0.057310668766534865,2,-1.3590727724192342,8,0.09937163495203102,2,0,1,1547.3192
-0.23974956009147205,1,-1.115150811092473,8,-0.4118034379118073,3,-1.3341027425308933,1,2,2,1621.8888
-0.9021590770855745,2,0.05939256480789004,2,-1.3911902385565518,9,-0.13954076129512305,1,0,1,718.3982
-0.05048969809315736,1,-0.6181698487241788,7,-0.4449775686850424,5,1.5328460124349554,1,2,3,2303.668
0.1269414225302629,1,0.7047240141173493,4,1.4379377893347167,6,-0.7368217519130082,2,1,1,2748.4224
